playerId,name,position,transferDate,fromClubId,fromClub,toClub,toClubId,fromDate,toDate,transferType,marketValue,fee,position_name,position_description,fee_transfer
50065,David Ospina,"{'label': 'GK', 'key': 'keeper'}",16-06-2024,101918,Al Nassr FC,Nacional,10214,01-07-2024,,contract,2000000.0,"{'feeText': 'free transfer', 'localizedFeeText': 'transfer_type_free_transfer'}",GK,keeper,0.0
1123324,Rafael Tresaco,"{'label': 'RW', 'key': 'rightwinger_short'}",16-06-2024,96925,SD Huesca,Free agent,2,16-06-2024,,contract,150000.0,,RW,rightwinger,0.0
721542,Antonio Cristian,"{'label': 'CB', 'key': 'centerback_short'}",16-06-2024,8393,Albacete,Cadiz,8385,01-07-2024,30-06-2025,contract,850000.0,,CB,centerback,0.0
798069,Deroy Duarte,"{'label': 'DM', 'key': 'centerdefensivemidfielder_short'}",16-06-2024,6422,Fortuna Sittard,Ludogorets Razgrad,210173,16-06-2024,30-06-2028,contract,1100000.0,"{'feeText': 'free transfer', 'localizedFeeText': 'transfer_type_free_transfer'}",DM,centerdefensivemidfielder,0.0
843804,Kofi Balmer,"{'label': 'CB', 'key': 'centerback_short'}",16-06-2024,9826,Crystal Palace,Motherwell,9927,01-07-2024,31-05-2026,contract,200000.0,"{'feeText': 'free transfer', 'localizedFeeText': 'transfer_type_free_transfer'}",CB,centerback,0.0
803760,Johnny Koutroumbis,"{'label': 'RB', 'key': 'rightback_short'}",16-06-2024,7961,Perth Glory,Motherwell,9927,01-07-2024,31-05-2026,contract,380000.0,"{'feeText': 'free transfer', 'localizedFeeText': 'transfer_type_free_transfer'}",RB,rightback,0.0
1130768,Tom Sparrow,"{'label': 'RB', 'key': 'rightback_short'}",16-06-2024,10194,Stoke,Motherwell,9927,01-07-2024,31-05-2026,contract,70000.0,"{'feeText': 'free transfer', 'localizedFeeText': 'transfer_type_free_transfer'}",RB,rightback,0.0
1292697,Doron Leidner,"{'label': 'LM', 'key': 'leftmidfielder_short'}",16-06-2024,8638,Olympiacos,FC ZÃ¼rich,10243,02-07-2024,30-06-2025,on loan,900000.0,"{'feeText': 'on loan', 'localizedFeeText': 'on_loan'}",LM,leftmidfielder,0.0
1284464,Nediljko Labrovic,"{'label': 'GK', 'key': 'keeper'}",16-06-2024,10162,Rijeka,Augsburg,8406,01-07-2024,30-06-2029,contract,4400000.0,"{'feeText': 'fee', 'localizedFeeText': 'transfer_fee', 'value': 2500000}",GK,keeper,2500000.0
